nome,localidade,tipo,site_atual,fraqueza,contacto,idioma,estado,data_envio,follow_up,resultado
Hôtel Garni Les Berges,Chippis/Sierre,hotel,none,só booking.com/OTA,lesberges@netplus.ch · +41 27 452 21 00,FR,novo,,,
Mayen2003,Ayent/Anzère,B&B 9 quartos,none,booking 253 reviews 9.3 sem site,,FR,novo,,,
Hotel Portjengrat,Saas-Almagell,hotel 3*,none,só booking/scrapers,info@portjengrat.ch,DE,novo,,,
Hôtel des Masques,Anzère,hotel 40 quartos,none,zero presença própria,+41 27 398 21 95,FR,novo,,,
Pension Taverne,Grächen,pensão,none,só booking/holidaycheck,+41 27 956 15 40,DE,novo,,,
Hotel Les Touristes,Verbier,hotel 24 quartos,none,só OTA/scrapers,hoteltouristes@verbier.ch,FR,novo,,,
Hotel Sonne,Grächen,hotel-restaurante,none,só graechen.ch + Facebook,hotel.sonne7@bluewin.ch,DE,novo,,,
Ancienne Poste B&B,Vissoie,B&B,http://ancienneposte.ch,site .aspx 2008 sem HTTPS,027 456 19 60 · annemarie@netplus.ch,FR,rascunho gmail,2026-09-02,,
Hôtel Le Trift,Zinal,hotel,none,reabre nov 2026 sem site,zinaltrift@bluewin.ch,FR,novo,,,
B&B Chalet Rey-Bellet,Les Crosets,B&B 10 quartos,none,ski-in/out só booking,079 672 15 67,FR,novo,,,
Chambre d'hôte Valère,Sion,B&B,none,só OTA,25 Rue du Rhône 1950 Sion,FR,novo,,,
La Chambre du Bisse,Ayent,B&B,none,só booking/agoda,15 Rue du Pissieu 1966 Ayent,FR,novo,,,
B&B Les Acacias,Le Châble,B&B 4 quartos,none,só booking 9.4,+41 27 776 22 70,FR,novo,,,
Hôtel Garni Les Bouquetins,Zinal,garni 9 quartos,none,só booking/TA,+41 27 475 25 09,FR,novo,,,
Hotel Cima,Zermatt,garni 2*,none,só directory/OTA,info@hotelcimazermatt.ch,EN,novo,,,
Hotel Garni Testa Grigia,Zermatt,garni 33 quartos,template hotelzermatt.net,sem domínio próprio,+41 27 966 79 00,EN,novo,,,
Hotel Ermitage,Verbier,hotel,none,só booking,info@ermitage-verbier.ch,FR,novo,,,
Le Merle Châtelain B&B,Sion,B&B,none,só OTA,patricia.heger@bluewin.ch · Ch. de la Poudrière 20B 1950 Sion,FR,novo,,,
Au 17 La Buvette,Morgins,B&B,none,só booking,024 477 12 42 · chambres@au17labuvette.ch,FR,rascunho gmail,2026-09-02,,
Hotel Garni Matterhornblick,Zermatt,garni,none,só diretórios,info@matterhornblick.ch · Kirchstr. 38 3920 Zermatt,DE,novo,,,
Hôtel & Spa La Vallée,Lourtier,hotel 16 quartos,none,só booking/Facebook,info@vallee.ch,FR,novo,,,
